ProductName,HDD,RAM,Color,Price,Discount,Rating
['Redmi 9A '],[' 32GB '],[' 2 GB '],[' Gree'],7799.0,3.0,18.0
['Nokia NOKIA 2.3 '],[' 32 MB '],[' 2 GB '],[' Gree'],8999.0,10.0,2.0
['Realme C2 '],[' 32GB '],[' 2 GB '],[' Blu'],8199.0,9.0,52.0
['Xolo Era 2 '],[' 8GB '],[' 1 GB '],[' Pyramid Gol'],4482.0,15.0,9254.0
['Redmi 9i '],[' 64GB '],[' 4 GB '],[' Blu'],8999.0,10.0,8.0
['Redmi Note 7s '],[' 64 GB '],[' 4 GB '],[' Blu'],11990.0,20.0,582.0
['Lenovo K8 Plus '],[' 32GB '],[' 3 GB '],[' Blac'],7990.0,20.0,1.0
['itel A25 pro '],[' 32GB '],[' 2 GB '],[' Gree'],5399.0,10.0,6.0
['Micromax X419  Blac'],['Micromax X419  Blac'],['Micromax X419  Blac'],['Micromax X419  Blac'],1295.0,34.0,59.0
['Realme 7 '],[' 64GB '],[' 6 GB '],[' Mist Blu'],15299.0,15.0,5.0
['Coolpad Note 3 Plus '],[' 16GB '],[' 3 GB '],[' Gol'],5900.0,38.0,6.0
['Realme C11 '],[' 32GB '],[' 2 GB '],[' Rich Gre'],8299.0,8.0,13.0
['YU YUNIQUE 2 PLUS '],[' 16GB '],[' 3 GB '],[' Champagn'],5999.0,25.0,16.0
['Oppo Reno3 Pro '],[' 256GB '],[' 8 GB '],[' Midnight Blac'],27990.0,22.0,3429.0
['ZTE Blade V7 Lite VoLTE '],[' 16GB '],[' 3 GB '],[' Silve'],8999.0,50.0,103.0
['Blackberry Passport '],[' 32GB '],[' 3 GB '],[' Blac'],24999.0,8.0,1.0
['Lenovo '],[' 8GB '],[' 2 GB '],[' Blac'],10999.0,20.0,103.0
['Lenovo Lenovo K8 Plus '],['Venom Black'],[' 32 GB'],['  '],7990.0,1.0,2.0
['INFINIX Hot 7 '],[' 64GB '],[' 4 GB '],[' Midnight Blac'],9889.0,11.0,2.0
['Redmi 9 '],[' 64GB '],[' 4 GB '],[' Carbon Blac'],9799.0,20.0,59.0
['Lenovo Lenovo K8 Plus '],['Venom Black'],[' 32 GB'],['  '],7990.0,10.0,1.0
['Nokia NOKIA 2.3 '],[' 32 MB '],[' 2 GB '],[' Gree'],8999.0,15.0,5.0
['Realme 7 '],[' 128GB '],[' 8 GB '],[' Mist Blu'],17799.0,17.0,549.0
['MI A2 '],['4GB RAM'],[' '],[' 64GB '],12499.0,14.0,6.0
['Redmi Note 9 '],[' 128GB '],[' 4 GB '],[' Blac'],14199.0,15.0,6.0
['Redmi Note 9 Pro '],[' 128GB '],[' 4 GB '],[' Aurora Blu'],15299.0,8.0,59.0
['Realme C11 '],[' 32GB '],[' 2 GB '],[' Rich Gree'],8299.0,64.0,5.0
['Gionee A1 '],[' 64 MB '],[' 4 GB '],[' Gol'],7999.0,27.0,76.0
['Oppo A5 2020 '],[' 64GB '],[' 3 GB '],[' Blac'],10990.0,22.0,128.0
['Micromax IN 1b '],[' 2 GB '],[' 2 GB '],[' Purpl'],7045.0,34.0,5.0
['Micromax X419  Blac'],['Micromax X419  Blac'],['Micromax X419  Blac'],['Micromax X419  Blac'],1295.0,38.0,1.0
['Coolpad Note 3 Plus '],[' 16GB '],[' 3 GB '],[' Gol'],5900.0,8.0,2.0
['Oppo Reno 4 Pro '],[' 128GB '],[' 8 GB '],[' Starry Nigh'],34990.0,21.0,9254.0
['Realme C3 '],[' 64GB '],[' 4 GB '],[' Aqua Blu'],10990.0,28.0,18.0
['Gionee A1 Lite '],[' 32GB '],[' 3 GB '],[' White Gol'],6499.0,14.0,59.0
['Redmi Note 9 '],[' 128GB '],[' 4 GB '],[' Whit'],14199.0,27.0,1.0
['Nokia 6 '],[' 32GB '],[' 3 GB '],[' Whit'],7990.0,8.0,18.0
['Oppo Reno 4 Pro '],[' 128GB '],[' 8 GB '],[' Silky Whit'],34990.0,30.0,103.0
['Micromax In Note 1 '],[' 64GB '],[' 4 GB '],[' Gree'],10499.0,12.0,8.0
['itel A25 pro '],[' 32GB '],[' 2 GB '],[' Purpl'],5299.0,10.0,1.0
['Nokia NOKIA 2.3 '],[' 32 MB '],[' 2 GB '],[' Gree'],8999.0,15.0,1.0
['Xolo Era 2 '],[' 8GB '],[' 1 GB '],[' Pyramid Gol'],4482.0,3.0,59.0
['Redmi 9A '],[' 32GB '],[' 2 GB '],[' Gree'],7799.0,17.0,6.0
['MI A2 '],['4GB RAM'],[' '],[' 64GB '],12499.0,10.0,26.0
['Oppo F19 Pro '],[' 128GB '],[' 8 GB '],[' Fluid Blac'],21490.0,11.0,5.0
['Redmi 9 '],[' 64GB '],[' 4 GB '],[' Carbon Blac'],9799.0,42.0,549.0
['Coolpad Cool 1 '],[' 32 GB '],[' 3 GB '],[' Gol'],7001.0,20.0,582.0
['Lenovo Lenovo K8 Plus '],['Venom Black'],[' 32 GB'],['  '],7990.0,27.0,
['Redmi Note 7s '],[' 64 GB '],[' 4 GB '],[' Blac'],10990.0,1.0,
['INFINIX Hot 7 '],[' 64GB '],[' 4 GB '],[' Midnight Blac'],9889.0,18.0,
['Nokia C3 '],[' 16GB '],[' 2 GB '],[' Sand Gol'],7000.0,10.0,
['itel A25 pro '],[' 32GB '],[' 2 GB '],[' Gree'],5399.0,38.0,
['Coolpad Note 3 Plus '],[' 16GB '],[' 3 GB '],[' Gol'],5900.0,19.0,
['Redmi 9 Power '],[' 128GB '],[' 4 GB '],[' Blac'],12999.0,34.0,
['Micromax X419  Blac'],['Micromax X419  Blac'],['Micromax X419  Blac'],['Micromax X419  Blac'],1295.0,32.0,
['OPPO A7 '],[' 64GB '],[' 4 GB '],[' Gol'],12990.0,8.0,
['Realme C11 '],[' 32GB '],[' 2 GB '],[' Rich Gree'],8299.0,64.0,
['Gionee A1 '],[' 64 MB '],[' 4 GB '],[' Gol'],7999.0,22.0,
['Oppo Reno3 Pro '],[' 256GB '],[' 8 GB '],[' Midnight Blac'],27990.0,20.0,
['Lenovo K8 Plus '],[' 32GB '],[' 3 GB '],[' Blac'],7990.0,,
